Date,Year,Month,Production,Storage,Unit
2018-05-01,2018,5,3738.0,838.21,Million Pounds
2018-04-01,2018,4,3456.3,840.71,Million Pounds
2018-03-01,2018,3,3489.7,863.47,Million Pounds
2018-02-01,2018,2,3256.7,843.75,Million Pounds
2018-01-01,2018,1,3639.0,855.94,Million Pounds
2017-12-01,2017,12,3324.8,865.47,Million Pounds
2017-11-01,2017,11,3437.3,843.54,Million Pounds
2017-10-01,2017,10,3709.5,788.74,Million Pounds
2017-09-01,2017,9,3429.9,752.67,Million Pounds
2017-08-01,2017,8,3763.6,767.97,Million Pounds
2017-07-01,2017,7,3357.6,778.48,Million Pounds
2017-06-01,2017,6,3542.5,757.41,Million Pounds
2017-05-01,2017,5,3647.9,768.48,Million Pounds
2017-04-01,2017,4,3216.3,741.95,Million Pounds
2017-03-01,2017,3,3582.2,764.06,Million Pounds
2017-02-01,2017,2,3153.8,748.51,Million Pounds
2017-01-01,2017,1,3496.9,777.55,Million Pounds
2016-12-01,2016,12,3311.5,760.93,Million Pounds
2016-11-01,2016,11,3336.9,746.88,Million Pounds
2016-10-01,2016,10,3417.1,737.53,Million Pounds
2016-09-01,2016,9,3454.8,742.57,Million Pounds
2016-08-01,2016,8,3637.3,795.06,Million Pounds
2016-07-01,2016,7,3246.2,785.93,Million Pounds
2016-06-01,2016,6,3484.8,777.77,Million Pounds
2016-05-01,2016,5,3466.4,778.33,Million Pounds
2016-04-01,2016,4,3302.1,768.72,Million Pounds
2016-03-01,2016,3,3525.8,773.6,Million Pounds
2016-02-01,2016,2,3256.7,795.54,Million Pounds
2016-01-01,2016,1,3256.8,832.33,Million Pounds
2015-12-01,2015,12,3334.5,851.3,Million Pounds
2015-11-01,2015,11,3135.4,822.18,Million Pounds
2015-10-01,2015,10,3466.8,763.01,Million Pounds
2015-09-01,2015,9,3486.3,734.45,Million Pounds
2015-08-01,2015,8,3417.5,727.19,Million Pounds
2015-07-01,2015,7,3468.7,691.09,Million Pounds
2015-06-01,2015,6,3428.4,707.79,Million Pounds
2015-05-01,2015,5,3246.5,733.34,Million Pounds
2015-04-01,2015,4,3346.3,719.65,Million Pounds
2015-03-01,2015,3,3389.0,696.51,Million Pounds
2015-02-01,2015,2,3000.8,688.0,Million Pounds
2015-01-01,2015,1,3328.1,680.13,Million Pounds
2014-12-01,2014,12,3348.5,664.61,Million Pounds
2014-11-01,2014,11,2939.9,625.98,Million Pounds
2014-10-01,2014,10,3525.2,592.96,Million Pounds
2014-09-01,2014,9,3306.6,593.75,Million Pounds
2014-08-01,2014,8,3197.6,596.98,Million Pounds
2014-07-01,2014,7,3331.1,563.88,Million Pounds
2014-06-01,2014,6,3205.6,584.49,Million Pounds
2014-05-01,2014,5,3201.2,557.24,Million Pounds
2014-04-01,2014,4,3210.9,564.37,Million Pounds
2014-03-01,2014,3,3098.6,649.96,Million Pounds
2014-02-01,2014,2,3015.0,658.64,Million Pounds
2014-01-01,2014,1,3185.1,668.67,Million Pounds
2013-12-01,2013,12,3093.3,709.01,Million Pounds
2013-11-01,2013,11,2968.3,692.66,Million Pounds
2013-10-01,2013,10,3475.3,650.64,Million Pounds
2013-09-01,2013,9,3108.0,683.94,Million Pounds
2013-08-01,2013,8,3296.2,673.56,Million Pounds
2013-07-01,2013,7,3278.9,653.49,Million Pounds
2013-06-01,2013,6,3002.0,666.93,Million Pounds
2013-05-01,2013,5,3270.1,654.86,Million Pounds
2013-04-01,2013,4,3194.1,607.05,Million Pounds
2013-03-01,2013,3,2999.2,631.09,Million Pounds
2013-02-01,2013,2,2877.6,643.37,Million Pounds
2013-01-01,2013,1,3267.1,651.06,Million Pounds
2012-12-01,2012,12,2853.7,645.89,Million Pounds
2012-11-01,2012,11,3008.5,628.29,Million Pounds
2012-10-01,2012,10,3335.5,622.96,Million Pounds
2012-09-01,2012,9,2927.1,628.55,Million Pounds
2012-08-01,2012,8,3317.5,614.94,Million Pounds
2012-07-01,2012,7,3127.0,606.17,Million Pounds
2012-06-01,2012,6,3105.3,605.53,Million Pounds
2012-05-01,2012,5,3281.8,570.88,Million Pounds
2012-04-01,2012,4,2993.8,546.72,Million Pounds
2012-03-01,2012,3,3043.8,567.97,Million Pounds
2012-02-01,2012,2,2953.6,573.15,Million Pounds
2012-01-01,2012,1,3091.8,590.43,Million Pounds
2011-12-01,2011,12,2857.5,619.0,Million Pounds
2011-11-01,2011,11,2907.1,666.88,Million Pounds
2011-10-01,2011,10,3096.8,639.4,Million Pounds
2011-09-01,2011,9,3180.4,657.98,Million Pounds
2011-08-01,2011,8,3330.3,718.41,Million Pounds
2011-07-01,2011,7,3030.9,716.22,Million Pounds
2011-06-01,2011,6,3284.6,716.97,Million Pounds
2011-05-01,2011,5,3251.1,704.0,Million Pounds
2011-04-01,2011,4,2973.5,660.78,Million Pounds
2011-03-01,2011,3,3310.4,682.47,Million Pounds
2011-02-01,2011,2,2852.4,739.54,Million Pounds
2011-01-01,2011,1,3127.5,772.59,Million Pounds
2010-12-01,2010,12,3175.0,737.57,Million Pounds
2010-11-01,2010,11,3124.4,700.25,Million Pounds
2010-10-01,2010,10,3183.7,678.25,Million Pounds
2010-09-01,2010,9,3238.3,665.31,Million Pounds
